ZCTA5CE10,count
3470,0
30363,0
39825,0
7036,0
8046,0
10459,0
10468,0
10473,0
11221,0
14615,0
18507,0
19140,0
19802,0
20002,0
21216,0
23059,0
23601,0
24910,0
27529,0
28115,0
28906,0
29340,0
29607,0
29609,0
29678,0
29816,0
29841,0
30003,0
30006,0
30074,0
30156,0
30284,0
30357,0
30410,0
30454,0
30562,0
30623,0
30647,0
30664,0
30667,0
30806,0
30812,0
30818,0
30914,0
31007,0
31011,0
31041,0
31051,0
31131,0
31303,0
31310,0
31412,0
31416,0
31518,0
31735,0
31782,0
31798,0
31810,0
31812,0
32055,0
32065,0
32068,0
32073,0
32118,0
32208,0
32246,0
32310,0
32408,0
32446,0
32456,0
33054,0
33311,0
33563,0
33607,0
34491,0
34638,0
34974,0
35203,0
35234,0
35959,0
35967,0
36522,0
36610,0
36860,0
36868,0
36870,0
37043,0
37130,0
37412,0
37814,0
37863,0
39859,0
39861,0
39877,0
39886,0
44127,0
44307,0
45324,0
46360,0
47012,0
47421,0
48221,0
60628,0
64130,0
65740,0
66015,0
70773,0
75227,0
77073,0
77371,0
90014,0
92084,0
94603,0
96701,0
98105,0
98597,0
30522,0
31077,0
31764,0
31038,0
12087,0
12915,0
14215,0
14621,0
26104,0
28208,0
29655,0
30048,0
30302,0
30424,0
30502,0
30627,0
30750,0
30756,0
30803,0
30819,0
30823,0
31035,0
31070,0
31097,0
31521,0
31631,0
31807,0
32352,0
32428,0
32822,0
32837,0
33060,0
34744,0
35674,0
38109,0
39832,0
43229,0
44721,0
48342,0
48601,0
49093,0
63109,0
77057,0
95608,0
98444,0
31711,0
3193,12
5819,12
23666,12
28056,12
28083,12
28726,12
29483,12
29645,12
30018,12
30150,12
30151,12
30212,12
30266,12
30271,12
30327,12
30448,12
30515,12
30568,12
30807,12
31066,12
31067,12
31309,12
31315,12
31630,12
31772,12
35630,12
35904,12
35960,12
36535,12
36867,12
37363,12
39826,12
39841,12
39866,12
42333,12
89156,12
92126,12
92656,12
96786,12
97424,12
30708,14
23503,16
30037,16
30086,16
30177,16
30205,16
30338,16
30441,16
30449,16
30452,16
30552,16
30619,16
31039,16
31072,16
31318,16
31333,16
31420,16
31552,16
31555,16
31703,16
31708,16
31823,16
31917,16
32097,16
32128,16
32303,16
36323,16
36869,16
70114,16
78628,16
30148,17
30477,17
31307,17
31804,18
35954,18
31648,19
1879,20
8701,20
30917,20
31012,20
31060,20
31094,20
31107,20
31126,20
31209,20
31304,20
31604,20
31743,20
31747,20
32084,20
32608,20
37323,20
37327,20
37406,20
39829,20
39846,20
30420,21
30425,21
16323,24
30285,24
30446,24
30665,24
31203,24
31208,24
31414,24
31562,24
31704,24
31712,24
31753,24
31789,24
36619,24
37373,24
38487,24
48066,24
70129,24
30091,28
30660,28
30820,28
30821,28
31046,28
31098,28
31557,28
32218,28
36612,28
37343,28
1038,32
11208,32
30095,32
30295,32
30346,32
30362,32
30364,32
30411,32
30545,32
30603,32
30608,32
31522,32
31756,32
31799,32
39818,32
70373,32
71047,32
72390,32
77071,32
30582,33
31016,34
31328,34
10018,36
30413,36
30630,36
31050,36
31065,36
31568,36
31629,36
31836,36
32164,36
36877,36
37076,36
39837,36
40353,36
30428,40
30571,40
30781,40
31515,40
31560,40
31598,40
31638,40
31758,40
31815,40
37920,40
39367,40
39854,40
40342,40
30470,42
31641,42
31902,42
30031,44
30298,44
30321,44
30336,44
30343,44
30625,44
31022,44
31301,44
31567,44
31796,44
