id,diabetes,adultObesity
01001,0.109,0.309
01003,0.109,0.267
01005,0.153,0.408
01007,0.125,0.401
01009,0.117,0.324
01011,0.173,0.445
01013,0.162,0.36
01015,0.126,0.32
01017,0.153,0.398
01019,0.125,0.327
01021,0.118,0.371
01023,0.157,0.387
01025,0.155,0.361
01027,0.135,0.377
01029,0.11,0.3
01031,0.123,0.302
01033,0.134,0.366
01035,0.185,0.372
01037,0.156,0.388
01039,0.129,0.316
01041,0.138,0.366
01043,0.115,0.347
01045,0.12,0.362
01047,0.19,0.424
01049,0.115,0.306
01051,0.105,0.303
01053,0.154,0.394
01055,0.13,0.347
01057,0.134,0.324
01059,0.123,0.342
01061,0.131,0.347
01063,0.227,0.459
01065,0.174,0.359
01067,0.14,0.352
01069,0.129,0.336
01071,0.125,0.306
01073,0.125,0.337
01075,0.134,0.325
01077,0.116,0.316
01079,0.124,0.363
01081,0.096,0.295
01083,0.108,0.335
01085,0.192,0.464
01087,0.182,0.424
01089,0.106,0.312
01091,0.176,0.413
01093,0.13,0.349
01095,0.115,0.35
01097,0.136,0.361
01099,0.164,0.372
01101,0.135,0.336
01103,0.114,0.322
01105,0.198,0.378
01107,0.155,0.374
01109,0.119,0.341
01111,0.136,0.332
01113,0.129,0.348
01115,0.107,0.331
01117,0.091,0.313
01119,0.193,0.396
01121,0.145,0.376
01123,0.143,0.365
01125,0.105,0.327
01127,0.13,0.329
01129,0.138,0.36
01131,0.205,0.444
01133,0.128,0.287
02013,0.1,0.311
02016,0.087,0.362
02020,0.071,0.27
02050,0.125,0.316
02060,0.094,0.341
02068,0.074,0.247
02070,0.123,0.353
02090,0.058,0.286
02100,0.097,0.265
02110,0.071,0.27
02122,0.08,0.28
02130,0.086,0.293
02150,0.077,0.293
02164,0.121,0.324
02170,0.074,0.289
02180,0.125,0.333
02185,0.089,0.353
02188,0.118,0.325
02201,0.114,0.353
02220,0.082,0.27
02232,0.107,0.312
02240,0.088,0.33
02261,0.083,0.304
02270,0.139,0.344
02280,0.093,0.296
02282,0.102,0.321
02290,0.149,0.265
04001,0.166,0.328
04003,0.11,0.247
04005,0.088,0.215
04007,0.124,0.268
04009,0.105,0.318
04011,0.103,0.334
04012,0.148,0.315
04013,0.089,0.222
04015,0.122,0.281
04017,0.138,0.309
04019,0.094,0.217
04021,0.106,0.299
