id,l1,n1,l2,n2,l3,n3
17123,Spanish or Spanish Creole,102,"French (incl. Patois, Cajun)",12,Tagalog,9
48429,Spanish or Spanish Creole,673,"French (incl. Patois, Cajun)",0,French Creole,0
38021,Spanish or Spanish Creole,12,German,11,"French (incl. Patois, Cajun)",0
37185,Spanish or Spanish Creole,350,"French (incl. Patois, Cajun)",11,Vietnamese,9
51199,Spanish or Spanish Creole,328,Korean,221,Vietnamese,190
30007,Spanish or Spanish Creole,15,"French (incl. Patois, Cajun)",0,French Creole,0
18091,Spanish or Spanish Creole,1584,Polish,123,German,109
17085,Spanish or Spanish Creole,201,Polish,35,Tagalog,23
45067,Spanish or Spanish Creole,509,Chinese,34,"French (incl. Patois, Cajun)",22
13245,Spanish or Spanish Creole,1644,Other Asian langs.,309,Korean,257
35053,Spanish or Spanish Creole,1513,Navajo,944,Persian,29
54003,Spanish or Spanish Creole,1231,Vietnamese,230,Chinese,138
27085,Spanish or Spanish Creole,645,Chinese,50,German,41
26095,Spanish or Spanish Creole,49,German,7,Other Native North American,2
21149,Spanish or Spanish Creole,33,Vietnamese,15,"French (incl. Patois, Cajun)",0
18019,Spanish or Spanish Creole,1913,Korean,79,German,48
02195,Spanish or Spanish Creole,63,African langs.,34,Russian,20
20163,Spanish or Spanish Creole,7,Laotian,7,German,5
22015,Spanish or Spanish Creole,1982,Vietnamese,198,Japanese,78
53019,Spanish or Spanish Creole,85,Other and unspecified,23,Other Pacific Island langs.,18
28133,Spanish or Spanish Creole,203,Arabic,30,Chinese,28
18103,Spanish or Spanish Creole,142,German,19,Tagalog,16
04001,Navajo,6968,Spanish or Spanish Creole,631,Other Native North American,60
29049,Spanish or Spanish Creole,48,German,9,Vietnamese,8
34041,Spanish or Spanish Creole,2462,Polish,271,Chinese,244
28091,Spanish or Spanish Creole,20,German,13,Korean,10
55027,Spanish or Spanish Creole,970,German,98,Polish,66
48329,Spanish or Spanish Creole,12762,Chinese,392,Other Asian langs.,73
28029,Spanish or Spanish Creole,398,Other Indic langs.,21,Hindi,10
19055,Spanish or Spanish Creole,99,German,2,"French (incl. Patois, Cajun)",0
13015,Spanish or Spanish Creole,2824,Korean,100,Polish,32
48263,Spanish or Spanish Creole,31,"French (incl. Patois, Cajun)",0,French Creole,0
05079,Spanish or Spanish Creole,194,"French (incl. Patois, Cajun)",4,French Creole,0
28059,Spanish or Spanish Creole,1790,Vietnamese,940,Chinese,161
26085,Spanish or Spanish Creole,54,"French (incl. Patois, Cajun)",0,French Creole,0
51079,Spanish or Spanish Creole,512,Vietnamese,63,Chinese,26
42087,Other West Germanic langs.,1585,Spanish or Spanish Creole,107,German,57
28153,Spanish or Spanish Creole,29,"French (incl. Patois, Cajun)",0,French Creole,0
08021,Spanish or Spanish Creole,473,Other Indic langs.,6,Thai,4
20173,Spanish or Spanish Creole,15785,Vietnamese,5377,Chinese,939
04012,Spanish or Spanish Creole,1760,Other Asian langs.,49,"French (incl. Patois, Cajun)",17
23017,Other,79,Chinese,73,Spanish or Spanish Creole,70
20119,Spanish or Spanish Creole,186,German,43,Other West Germanic langs.,8
38081,Spanish or Spanish Creole,16,German,8,Scandinavian langs.,4
01069,Spanish or Spanish Creole,873,Vietnamese,143,Chinese,126
39097,Spanish or Spanish Creole,168,Japanese,158,Other West Germanic langs.,63
47067,Other,19,Spanish or Spanish Creole,0,"French (incl. Patois, Cajun)",0
17063,Spanish or Spanish Creole,1007,Polish,45,Other Slavic langs.,36
13311,Spanish or Spanish Creole,155,German,24,Portuguese/Portuguese Creole,18
17021,Spanish or Spanish Creole,129,Other Pacific Island langs.,24,Chinese,22
18057,Spanish or Spanish Creole,2562,Chinese,1250,Japanese,484
23011,Other,836,Spanish or Spanish Creole,146,Arabic,79
19143,Spanish or Spanish Creole,173,Chinese,8,Arabic,1
48411,Spanish or Spanish Creole,434,"French (incl. Patois, Cajun)",0,French Creole,0
49025,Russian,14,Other West Germanic langs.,7,Spanish or Spanish Creole,3
48403,Spanish or Spanish Creole,150,"French (incl. Patois, Cajun)",16,French Creole,0
46081,Spanish or Spanish Creole,80,Other Slavic langs.,51,Korean,26
55013,Spanish or Spanish Creole,52,Other Native North American,11,"French (incl. Patois, Cajun)",7
48185,Spanish or Spanish Creole,1760,Polish,31,Other West Germanic langs.,5
50023,Other,141,Serbo-Croatian,88,Spanish or Spanish Creole,49
17065,Other West Germanic langs.,49,Spanish or Spanish Creole,37,Polish,16
38071,Other,27,Chinese,14,German,11
46049,Spanish or Spanish Creole,6,"French (incl. Patois, Cajun)",0,French Creole,0
26021,Spanish or Spanish Creole,2004,Korean,309,German,237
12125,Spanish or Spanish Creole,134,Tagalog,11,Gujarati,10
19029,Spanish or Spanish Creole,76,Other Pacific Island langs.,18,Scandinavian langs.,9
31025,Spanish or Spanish Creole,149,Other Indic langs.,22,German,7
37157,Spanish or Spanish Creole,2060,Japanese,47,German,44
19181,Spanish or Spanish Creole,83,German,15,Serbo-Croatian,12
37193,Spanish or Spanish Creole,1520,Chinese,36,German,33
13013,Spanish or Spanish Creole,2574,Other Indo-European langs.,167,Hmong,152
18107,Spanish or Spanish Creole,488,Other Indic langs.,25,German,24
31007,Spanish or Spanish Creole,9,"French (incl. Patois, Cajun)",5,German,5
31005,Spanish or Spanish Creole,0,"French (incl. Patois, Cajun)",0,French Creole,0
31105,Spanish or Spanish Creole,60,Russian,3,Chinese,3
31135,Spanish or Spanish Creole,3,"French (incl. Patois, Cajun)",0,French Creole,0
46103,Spanish or Spanish Creole,459,Chinese,98,Other Native North American,94
17103,Spanish or Spanish Creole,321,Other Indo-European langs.,49,Other Slavic langs.,21
