county,state,count,,
100,1,,,257 rows deleted
35,1,27,,
11,1,32,,
25,1,35,,
129,1,43,,
119,1,44,,
63,1,49,,
37,1,49,,
99,1,50,,
131,1,55,,
41,1,55,,
67,1,55,,
111,1,60,,
87,1,63,,
27,1,69,,
105,1,70,,
91,1,74,,
85,1,77,,
109,1,81,,
13,1,87,,
29,1,88,,
17,1,93,,
107,1,94,,
5,1,98,,
65,1,105,,
23,1,109,,
7,1,139,,
75,1,141,,
39,1,152,,
133,1,153,,
93,1,188,,
61,1,189,,
123,1,198,,
19,1,200,,
31,1,209,,
45,1,214,,
57,1,238,,
21,1,273,,
77,1,275,,
53,1,288,,
51,1,291,,
81,1,295,,
59,1,300,,
33,1,301,,
 ,1,303,,
49,1,331,,
1,1,340,,
79,1,352,,
83,1,357,,
9,1,391,,
113,1,403,,
43,1,427,,
71,1,446,,
95,1,501,,
117,1,555,,
47,1,623,,
69,1,626,,
55,1,651,,
115,1,719,,
121,1,725,,
3,1,770,,
103,1,829,,
127,1,896,,
15,1,991,,
89,1,1040,,
125,1,1168,,
101,1,1669,,
97,1,1716,,
73,1,4630,,
60,2,,,
68,2,,,
282,2,,,
13,2,,,
16,2,11,,
100,2,12,,
 ,2,14,,
164,2,17,,
240,2,19,,
232,2,19,,
0,2,26,,
70,2,38,,
261,2,41,,
201,2,43,,
280,2,43,,
220,2,54,,
290,2,61,,
185,2,67,,
150,2,68,,
188,2,104,,
130,2,114,,
270,2,192,,
180,2,234,,
110,2,276,,
50,2,351,,
122,2,409,,
90,2,519,,
170,2,897,,
20,2,2002,,
 ,4,55,,
11,4,93,,
23,4,122,,
12,4,130,,
1,4,255,,
9,4,280,,
7,4,419,,
5,4,489,,
17,4,606,,
27,4,628,,
3,4,803,,
21,4,1203,,
25,4,1967,,
15,4,3186,,
19,4,6970,,
13,4,22860,,
13,5,23,,
41,5,25,,
39,5,29,,
101,5,34,,
73,5,35,,
129,5,41,,
61,5,41,,
1,5,44,,
109,5,47,,
95,5,48,,
25,5,48,,
105,5,49,,
107,5,49,,
77,5,50,,
127,5,52,,
21,5,52,,
97,5,56,,
79,5,56,,
117,5,57,,
17,5,58,,
11,5,58,,
141,5,59,,
99,5,59,,
43,5,60,,
81,5,63,,
75,5,65,,
133,5,68,,
19,5,70,,
37,5,73,,
65,5,76,,
121,5,77,,
53,5,79,,
87,5,81,,
149,5,83,,
137,5,92,,
47,5,97,,
29,5,101,,
113,5,102,,
147,5,102,,
49,5,104,,
57,5,104,,
15,5,106,,
89,5,110,,
135,5,118,,
27,5,121,,
103,5,134,,
83,5,136,,
67,5,141,,
55,5,142,,
23,5,149,,
123,5,149,,
111,5,160,,
 ,5,168,,
9,5,202,,
5,5,209,,
3,5,223,,
71,5,226,,
91,5,228,,
125,5,251,,
63,5,272,,
85,5,291,,
59,5,295,,
35,5,299,,
115,5,308,,
45,5,317,,
33,5,348,,
31,5,378,,
93,5,418,,
69,5,539,,
7,5,540,,
145,5,644,,
139,5,678,,
51,5,798,,
143,5,808,,
131,5,966,,
119,5,1561,,
3,6,,,
51,6,22,,
91,6,58,,
11,6,93,,
43,6,114,,
69,6,135,,
49,6,140,,
27,6,184,,
105,6,254,,
21,6,268,,
63,6,284,,
 ,6,402,,
5,6,473,,
35,6,500,,
25,6,509,,
9,6,514,,
111,6,546,,
41,6,581,,
93,6,806,,
55,6,806,,
15,6,860,,
31,6,860,,
101,6,873,,
109,6,878,,
39,6,984,,
79,6,993,,
57,6,1026,,
115,6,1041,,
81,6,1228,,
87,6,1240,,
53,6,1283,,
113,6,1364,,
83,6,1383,,
17,6,1391,,
61,6,1454,,
103,6,1458,,
33,6,1510,,
45,6,1900,,
47,6,1927,,
85,6,2169,,
23,6,2323,,
107,6,2502,,
75,6,2670,,
95,6,3096,,
97,6,3223,,
99,6,3447,,
19,6,3538,,
13,6,3542,,
7,6,3585,,
59,6,4257,,
89,6,4607,,
77,6,5101,,
1,6,5740,,
65,6,5774,,
29,6,5848,,
71,6,7226,,
73,6,7681,,
67,6,10227,,
37,6,16600,,
 ,8,,,
0,8,24,,
13,8,515,,
7,8,905,,
5,8,1135,,
15,8,1430,,
1,8,2020,,
11,8,2881,,
9,8,5580,,
3,8,6257,,
0,9,71,,
1,9,660,,
5,9,1674,,
3,9,4950,,
 ,10,,,
0,10,19,,
1,10,13589,,
43,12,30,,
67,12,32,,
77,12,35,,
65,12,53,,
79,12,57,,
13,12,67,,
47,12,72,,
27,12,78,,
37,12,81,,
125,12,92,,
3,12,111,,
49,12,120,,
45,12,122,,
123,12,134,,
41,12,137,,
999,12,142,,
59,12,154,,
87,12,156,,
51,12,161,,
39,12,167,,
129,12,172,,
29,12,186,,
121,12,209,,
63,12,216,,
35,12,216,,
7,12,245,,
133,12,246,,
55,12,287,,
131,12,290,,
75,12,299,,
93,12,310,,
 ,12,330,,
89,12,330,,
23,12,350,,
85,12,357,,
61,12,386,,
119,12,396,,
109,12,431,,
117,12,532,,
107,12,549,,
53,12,571,,
21,12,583,,
15,12,593,,
73,12,614,,
81,12,631,,
97,12,633,,
115,12,672,,
111,12,775,,
19,12,792,,
113,12,967,,
17,12,1057,,
91,12,1094,,
5,12,1121,,
1,12,1232,,
69,12,1384,,
99,12,1471,,
95,12,1876,,
83,12,2035,,
33,12,2165,,
101,12,2201,,
127,12,2339,,
11,12,2679,,
105,12,3013,,
71,12,3195,,
9,12,3470,,
103,12,3906,,
25,12,4226,,
57,12,4787,,
31,12,4990,,
239,13,12,,
249,13,16,,
307,13,16,,
201,13,16,,
61,13,18,,
309,13,20,,
7,13,20,,
53,13,22,,
197,13,22,,
101,13,22,,
181,13,26,,
125,13,26,,
235,13,26,,
155,13,26,,
253,13,26,,
265,13,28,,
259,13,28,,
165,13,28,,
243,13,34,,
209,13,36,,
5,13,36,,
281,13,36,,
37,13,40,,
93,13,40,,
49,13,40,,
23,13,42,,
315,13,44,,
221,13,44,,
163,13,46,,
263,13,46,,
99,13,48,,
301,13,50,,
65,13,52,,
241,13,52,,
283,13,54,,
161,13,54,,
183,13,56,,
193,13,56,,
289,13,60,,
269,13,60,,
231,13,62,,
171,13,62,,
173,13,62,,
191,13,62,,
271,13,62,,
141,13,62,,
237,13,64,,
219,13,64,,
79,13,64,,
145,13,70,,
 ,13,72,,
3,13,72,,
43,13,78,,
33,13,78,,
273,13,80,,
149,13,80,,
287,13,80,,
251,13,82,,
17,13,84,,
291,13,86,,
177,13,86,,
211,13,86,,
109,13,88,,
91,13,88,,
1,13,90,,
317,13,94,,
167,13,94,,
147,13,96,,
179,13,96,,
207,13,98,,
85,13,98,,
319,13,100,,
169,13,102,,
83,13,104,,
87,13,104,,
159,13,106,,
75,13,110,,
81,13,112,,
199,13,114,,
113,13,118,,
119,13,122,,
303,13,126,,
25,13,128,,
11,13,132,,
39,13,134,,
123,13,136,,
279,13,138,,
229,13,140,,
107,13,142,,
267,13,142,,
29,13,150,,
103,13,156,,
9,13,156,,
19,13,158,,
321,13,158,,
227,13,162,,
105,13,164,,
133,13,168,,
27,13,174,,
261,13,186,,
293,13,188,,
35,13,188,,
257,13,190,,
111,13,196,,
187,13,200,,
225,13,202,,
255,13,206,,
247,13,210,,
189,13,212,,
137,13,214,,
205,13,214,,
69,13,220,,
195,13,238,,
117,13,246,,
305,13,248,,
127,13,252,,
131,13,264,,
299,13,268,,
311,13,290,,
73,13,300,,
31,13,300,,
277,13,330,,
157,13,348,,
47,13,362,,
285,13,396,,
143,13,408,,
55,13,412,,
297,13,412,,
175,13,442,,
57,13,450,,
77,13,470,,
71,13,484,,
59,13,488,,
151,13,496,,
217,13,522,,
213,13,562,,
185,13,564,,
295,13,570,,
223,13,570,,
275,13,634,,
13,13,656,,
129,13,688,,
153,13,726,,
97,13,736,,
313,13,874,,
15,13,936,,
21,13,948,,
233,13,948,,
139,13,954,,
95,13,994,,
135,13,1004,,
51,13,1028,,
45,13,1068,,
215,13,1204,,
245,13,1234,,
63,13,1282,,
115,13,1702,,
67,13,1872,,
89,13,2064,,
121,13,3226,,
999,13,,,
 ,15,40,,
7,15,229,,
9,15,976,,
1,15,1886,,
3,15,3972,,
 ,17,,,
151,17,15,,
155,17,16,,
69,17,18,,
171,17,27,,
13,17,31,,
47,17,35,,
9,17,35,,
133,17,43,,
85,17,44,,
65,17,45,,
71,17,47,,
169,17,47,,
175,17,51,,
15,17,54,,
59,17,60,,
153,17,66,,
131,17,70,,
189,17,72,,
79,17,75,,
147,17,80,,
27,17,83,,
67,17,88,,
35,17,92,,
101,17,94,,
53,17,95,,
191,17,97,,
17,17,98,,
139,17,99,,
87,17,101,,
129,17,101,,
123,17,103,,
33,17,110,,
3,17,110,,
25,17,118,,
203,17,121,,
23,17,127,,
193,17,129,,
41,17,139,,
149,17,144,,
63,17,148,,
127,17,156,,
39,17,162,,
5,17,163,,
61,17,163,,
51,17,167,,
125,17,173,,
157,17,189,,
181,17,197,,
105,17,198,,
187,17,202,,
45,17,205,,
185,17,210,,
145,17,213,,
11,17,222,,
159,17,223,,
49,17,223,,
177,17,230,,
75,17,239,,
173,17,241,,
83,17,247,,
93,17,254,,
0,17,259,,
137,17,289,,
109,17,310,,
165,17,310,,
135,17,317,,
195,17,318,,
57,17,336,,
73,17,343,,
7,17,357,,
107,17,399,,
103,17,435,,
141,17,443,,
21,17,479,,
117,17,504,,
37,17,550,,
55,17,565,,
95,17,583,,
81,17,610,,
99,17,623,,
77,17,649,,
91,17,684,,
121,17,707,,
111,17,710,,
29,17,731,,
179,17,734,,
1,17,771,,
161,17,792,,
199,17,818,,
163,17,959,,
19,17,986,,
113,17,998,,
183,17,1041,,
97,17,1169,,
115,17,1295,,
89,17,1378,,
197,17,1521,,
143,17,1595,,
43,17,1727,,
167,17,2792,,
119,17,2824,,
201,17,3046,,
31,17,13461,,
999,18,,,
115,18,15,,
159,18,34,,
 ,18,40,,
161,18,43,,
171,18,48,,
7,18,56,,
73,18,63,,
111,18,66,,
165,18,73,,
121,18,84,,
139,18,87,,
15,18,88,,
155,18,90,,
153,18,90,,
45,18,94,,
131,18,98,,
101,18,98,,
49,18,100,,
13,18,100,,
9,18,103,,
87,18,105,,
137,18,107,,
147,18,109,,
181,18,110,,
55,18,114,,
83,18,114,,
179,18,115,,
129,18,119,,
29,18,125,,
31,18,129,,
119,18,135,,
183,18,137,,
51,18,141,,
125,18,149,,
1,18,150,,
25,18,156,,
117,18,163,,
75,18,169,,
99,18,172,,
47,18,178,,
27,18,182,,
133,18,188,,
33,18,196,,
173,18,197,,
69,18,203,,
11,18,213,,
135,18,222,,
21,18,223,,
23,18,229,,
123,18,232,,
149,18,232,,
113,18,234,,
93,18,235,,
169,18,242,,
175,18,249,,
65,18,261,,
61,18,279,,
63,18,280,,
41,18,280,,
43,18,284,,
59,18,284,,
107,18,285,,
37,18,287,,
143,18,311,,
151,18,315,,
103,18,347,,
77,18,348,,
19,18,350,,
145,18,353,,
57,18,369,,
85,18,374,,
17,18,374,,
79,18,382,,
67,18,421,,
105,18,423,,
71,18,467,,
177,18,529,,
109,18,554,,
81,18,619,,
127,18,677,,
167,18,679,,
5,18,718,,
91,18,768,,
53,18,833,,
157,18,980,,
35,18,983,,
95,18,1011,,
141,18,1431,,
163,18,1533,,
39,18,1959,,
3,18,1983,,
89,18,2108,,
97,18,6633,,
 ,19,,,
93,19,,,
143,19,,,
159,19,11,,
119,19,12,,
51,19,13,,
3,19,13,,
151,19,13,,
173,19,14,,
75,19,15,,
131,19,16,,
147,19,18,,
9,19,18,,
107,19,18,,
189,19,19,,
185,19,19,,
167,19,19,,
121,19,20,,
69,19,20,,
161,19,21,,
53,19,21,,
115,19,22,,
195,19,23,,
1,19,23,,
71,19,23,,
177,19,23,,
165,19,23,,
91,19,23,,
89,19,25,,
135,19,26,,
81,19,26,,
191,19,28,,
55,19,28,,
31,19,29,,
21,19,30,,
25,19,31,,
157,19,31,,
39,19,32,,
37,19,32,,
73,19,33,,
95,19,33,,
35,19,34,,
59,19,35,,
149,19,36,,
77,19,36,,
43,19,37,,
63,19,39,,
23,19,39,,
109,19,40,,
129,19,41,,
141,19,41,,
171,19,41,,
133,19,41,,
17,19,42,,
105,19,42,,
79,19,43,,
197,19,45,,
137,19,46,,
47,19,47,,
41,19,49,,
101,19,49,,
67,19,49,,
29,19,49,,
5,19,49,,
19,19,49,,
117,19,52,,
175,19,55,,
97,19,56,,
183,19,57,,
181,19,57,,
11,19,58,,
83,19,60,,
27,19,62,,
85,19,64,,
7,19,72,,
49,19,72,,
125,19,79,,
123,19,84,,
65,19,99,,
15,19,99,,
139,19,137,,
179,19,149,,
145,19,150,,
57,19,164,,
99,19,167,,
61,19,170,,
87,19,203,,
169,19,216,,
33,19,236,,
127,19,237,,
45,19,242,,
103,19,265,,
111,19,326,,
187,19,358,,
155,19,505,,
193,19,519,,
113,19,574,,
13,19,696,,
163,19,703,,
153,19,1302,,
999,21,,,
201,21,41,,
57,21,42,,
171,21,45,,
225,21,56,,
105,21,61,,
233,21,74,,
53,21,75,,
213,21,78,,
229,21,82,,
123,21,84,,
143,21,85,,
169,21,85,,
39,21,94,,
7,21,96,,
139,21,103,,
103,21,103,,
35,21,105,,
223,21,107,,
187,21,109,,
215,21,112,,
219,21,116,,
185,21,122,,
55,21,127,,
91,21,128,,
181,21,129,,
31,21,129,,
3,21,132,,
61,21,133,,
75,21,140,,
45,21,142,,
79,21,148,,
207,21,151,,
27,21,152,,
155,21,152,,
161,21,153,,
77,21,153,,
87,21,156,,
167,21,163,,
163,21,170,,
99,21,171,,
211,21,176,,
97,21,177,,
145,21,177,,
221,21,180,,
23,21,184,,
63,21,184,,
189,21,189,,
21,21,194,,
141,21,195,,
165,21,196,,
