state,rate
Oklahoma,6.8
South Dakota,6.4
Kentucky,5.2
West Virginia,4.8
Montana,4.4
Colorado,4
Florida,3.8
Maine,3.6
Vermont,3.6
New York,3
Arkansas,2.6
Arizona,2.6
Idaho,2.6
Alaska,2.5
Utah,2.4
Delaware,2.3
New Mexico,2
Iowa,1.8
South Carolina,1.8
Hawaii,1.7
Alabama,1.5
Illinois,1.5
National (States and DC),1.5
Maryland,1.3
Pennsylvania,1.2
District of Columbia,1.1
Indiana,1.1
North Carolina,1.1
New Hampshire,1.1
Rhode Island,1.1
Georgia,1
Nebraska,1
Oregon,1
Wisconsin,1
Louisiana,0.9
Massachusetts,0.9
California,0.8
Mississippi,0.8
Nevada,0.7
Connecticut,0.6
New Jersey,0.6
Washington,0.6
Kansas,0.5
Ohio,0.5
Texas,0.5
Minnesota,0.4
Virginia,0.4
Michigan,0.3
Missouri,0.3
Tennessee,0.2
