id,rate
1100,0
1035,27
1011,32
1025,35
1129,43
1119,44
1063,49
1037,49
1099,50
1131,55
1041,55
1067,55
1111,60
1087,63
1027,69
1105,70
1091,74
1085,77
1109,81
1013,87
1029,88
1017,93
1107,94
1005,98
1065,105
1023,109
1007,139
1075,141
1039,152
1133,153
1093,188
1061,189
1123,198
1019,200
1031,209
1045,214
1057,238
1021,273
1077,275
1053,288
1051,291
1081,295
1059,300
1033,301
1049,331
1001,340
1079,352
1083,357
1009,391
1113,403
1043,427
1071,446
1095,501
1117,555
1047,623
1069,626
1055,651
1115,719
1121,725
1003,770
1103,829
1127,896
1015,991
1089,1040
1125,1168
1101,1669
1097,1716
1073,4630
2060,0
2068,0
2282,0
2013,0
2016,11
2100,12
2164,17
2240,19
2232,19
2000,26
2070,38
2261,41
2201,43
2280,43
2220,54
2290,61
2185,67
2150,68
2188,104
2130,114
2270,192
2180,234
2110,276
2050,351
2122,409
2090,519
2170,897
2020,2002
4011,93
4023,122
4012,130
4001,255
4009,280
4007,419
4005,489
4017,606
4027,628
4003,803
4021,1203
4025,1967
4015,3186
4019,6970
4013,22860
5013,23
5041,25
5039,29
5101,34
5073,35
5129,41
5061,41
5001,44
5109,47
5095,48
5025,48
5105,49
5107,49
5077,50
5127,52
5021,52
5097,56
5079,56
5117,57
5017,58
5011,58
5141,59
5099,59
5043,60
5081,63
5075,65
5133,68
5019,70
5037,73
5065,76
5121,77
5053,79
5087,81
5149,83
5137,92
5047,97
5029,101
5113,102
5147,102
5049,104
5057,104
5015,106
5089,110
5135,118
5027,121
5103,134
5083,136
5067,141
5055,142
5023,149
5123,149
5111,160
5009,202
5005,209
5003,223
5071,226
5091,228
5125,251
5063,272
5085,291
5059,295
5035,299
5115,308
5045,317
5033,348
5031,378
5093,418
5069,539
5007,540
5145,644
5139,678
5051,798
5143,808
5131,966
5119,1561
6003,0
6051,22
6091,58
6011,93
6043,114
6069,135
6049,140
6027,184
6105,254
6021,268
6063,284
6005,473
6035,500
6025,509
6009,514
6111,546
6041,581
6093,806
6055,806
6015,860
6031,860
6101,873
6109,878
6039,984
6079,993
6057,1026
6115,1041
6081,1228
6087,1240
6053,1283
6113,1364
6083,1383
6017,1391
6061,1454
6103,1458
6033,1510
6045,1900
6047,1927
6085,2169
6023,2323
6107,2502
6075,2670
6095,3096
6097,3223
6099,3447
6019,3538
6013,3542
6007,3585
6059,4257
6089,4607
6077,5101
6001,5740
6065,5774
6029,5848
6071,7226
6073,7681
6067,10227
6037,16600
8000,24
8013,515
8007,905
8005,1135
8015,1430
8001,2020
8011,2881
8009,5580
8003,6257
9000,71
9001,660
9005,1674
9003,4950
10000,19
10001,13589
12043,30
12067,32
12077,35
12065,53
12079,57
12013,67
12047,72
12027,78
12037,81
12125,92
12003,111
12049,120
12045,122
12123,134
12041,137
12999,142
12059,154
12087,156
12051,161
12039,167
12129,172
12029,186
12121,209
12063,216
12035,216
12007,245
12133,246
12055,287
12131,290
12075,299
12093,310
12089,330
12023,350
12085,357
12061,386
12119,396
12109,431
12117,532
12107,549
12053,571
12021,583
12015,593
12073,614
12081,631
12097,633
12115,672
12111,775
12019,792
12113,967
12017,1057
12091,1094
12005,1121
12001,1232
12069,1384
12099,1471
12095,1876
12083,2035
12033,2165
12101,2201
12127,2339
12011,2679
12105,3013
12071,3195
12009,3470
12103,3906
12025,4226
12057,4787
12031,4990
13239,12
13249,16
13307,16
13201,16
13061,18
13309,20
13007,20
13053,22
13197,22
13101,22
13181,26
13125,26
13235,26
13155,26
13253,26
13265,28
13259,28
13165,28
13243,34
13209,36
13005,36
13281,36
13037,40
13093,40
13049,40
13023,42
13315,44
13221,44
13163,46
13263,46
13099,48
13301,50
13065,52
13241,52
13283,54
13161,54
13183,56
13193,56
13289,60
13269,60
13231,62
13171,62
13173,62
13191,62
13271,62
13141,62
13237,64
13219,64
13079,64
13145,70
13003,72
13043,78
13033,78
13273,80
13149,80
13287,80
13251,82
13017,84
13291,86
13177,86
13211,86
13109,88
13091,88
13001,90
13317,94
13167,94
13147,96
13179,96
13207,98
13085,98
13319,100
13169,102
13083,104
13087,104
13159,106
13075,110
13081,112
13199,114
13113,118
13119,122
13303,126
13025,128
13011,132
13039,134
13123,136
13279,138
13229,140
13107,142
13267,142
13029,150
13103,156
13009,156
13019,158
13321,158
13227,162
13105,164
13133,168
13027,174
13261,186
13293,188
13035,188
13257,190
13111,196
13187,200
13225,202
13255,206
13247,210
13189,212
13137,214
13205,214
13069,220
13195,238
13117,246
13305,248
13127,252
13131,264
13299,268
13311,290
13073,300
13031,300
13277,330
13157,348
13047,362
13285,396
13143,408
13055,412
13297,412
13175,442
13057,450
13077,470
13071,484
13059,488
13151,496
13217,522
13213,562
13185,564
13295,570
13223,570
13275,634
13013,656
13129,688
13153,726
13097,736
13313,874
13015,936
13021,948
13233,948
13139,954
13095,994
13135,1004
13051,1028
13045,1068
13215,1204
13245,1234
13063,1282
13115,1702
13067,1872
13089,2064
13121,3226
13999,0
15007,229
15009,976
15001,1886
15003,3972
17151,15
17155,16
17069,18
17171,27
17013,31
17047,35
17009,35
17133,43
17085,44
17065,45
17071,47
17169,47
17175,51
17015,54
17059,60
17153,66
17131,70
17189,72
17079,75
17147,80
17027,83
17067,88
17035,92
17101,94
17053,95
17191,97
17017,98
17139,99
17087,101
17129,101
17123,103
17033,110
17003,110
17025,118
17203,121
17023,127
17193,129
17041,139
17149,144
17063,148
17127,156
17039,162
17005,163
17061,163
17051,167
17125,173
17157,189
17181,197
17105,198
17187,202
17045,205
17185,210
17145,213
17011,222
17159,223
17049,223
17177,230
17075,239
