objectID,x,y,people_total,avg,CI_low,CI_UP,county_level,smoker
6001,-90.183016,46.445921,55,0.14,12%,15%,55051,8
6002,-122.444471,47.248495,0,0,0%,0%,53053,0
6003,-98.566147,29.439138,0,0,0%,0%,48029,0
6004,-81.987091,28.088289,0,0,0%,0%,12105,0
6005,-85.296163,33.751676,315,0.44,43%,45%,13143,139
6006,-79.993652,40.421959,100,0.63,62%,64%,42003,63
6007,-87.421097,39.434981,448,0.73,72%,74%,18167,327
6008,-94.026113,33.412588,465,0.63,62%,63%,5091,292
6009,-94.993953,29.380497,147,0.48,47%,49%,48167,71
6010,-83.523751,31.448851,392,0.69,69%,70%,13277,272
6011,-83.513607,31.445688,345,0.71,71%,72%,13277,246
6012,-122.475118,45.51535,124,0.29,28%,30%,41051,36
6013,-122.565112,45.557127,86,0.59,57%,60%,41051,50
6014,-122.662871,45.550415,87,0.56,55%,58%,41051,49
6015,-122.685011,45.517249,26,1,99%,0%,41051,26
6016,-122.438891,45.518009,90,0.4,39%,42%,41051,36
6017,-122.624863,45.49225,0,0,0%,0%,41051,0
6018,-122.677067,45.557038,0,0,0%,0%,41051,0
6019,-91.669276,47.019887,50,0.29,27%,31%,27075,14
6020,-97.34908,32.6321,134,0.56,54%,57%,48439,74
6021,-120.055114,36.721127,151,0.15,15%,16%,6019,23
6022,-119.570526,36.708367,425,0.16,15%,16%,6019,67
6023,-76.494452,38.981843,96,0.3,29%,32%,24003,29
6024,-83.38056,33.960258,114,0.35,34%,36%,13059,40
6025,-83.380574,33.95462,287,0.63,62%,64%,13059,181
6026,-78.845625,35.983339,0,0,0%,0%,37063,0
6027,-82.841413,36.170448,0,0,0%,0%,47059,0
6028,-92.103326,32.480696,0,0,0%,0%,22073,0
6029,-106.601172,32.010447,0,0,0%,0%,35013,0
6030,-88.058456,44.522386,146,0.38,37%,39%,55009,56
6031,-90.449021,45.920909,60,0.21,19%,22%,55099,12
6032,-84.152157,40.286723,459,0.51,50%,51%,39149,232
6033,-99.301734,34.156095,353,0.35,34%,35%,48487,122
6034,-92.280772,30.696909,532,0.51,51%,52%,22039,273
6035,-95.621337,34.232413,165,0.42,41%,43%,40127,70
6036,-97.881436,27.53043,35,0.09,8%,10%,48273,3
6037,-83.946453,35.975774,985,0.82,82%,82%,47093,807
6038,-83.890493,35.981672,45,0.51,49%,53%,47093,23
6039,-83.909337,35.972771,321,0.71,70%,71%,47093,227
6040,-86.125979,40.481361,343,0.71,70%,72%,18067,243
6041,-86.122081,40.466332,667,0.74,74%,75%,18067,495
6042,-95.443678,46.321782,25,0.2,18%,23%,27111,5
6043,-96.448487,45.306727,86,0.31,30%,33%,27011,27
6044,-92.043552,44.382737,228,0.37,36%,38%,27157,84
6045,-104.965778,39.743384,104,0.51,50%,53%,8031,53
6046,-98.118729,26.18725,55,0.09,8%,10%,48215,5
6047,-145.74909,60.541132,57,0.07,6%,8%,2261,4
6048,-134.425476,58.302536,515,0.42,42%,43%,2110,217
6049,-76.999163,38.879097,167,0,0%,1%,11001,1
6050,-83.392598,33.948977,360,0.68,68%,69%,13059,246
6051,-84.381739,33.736935,83,0.45,43%,46%,13121,37
6052,-84.313971,33.740933,245,0.56,55%,57%,13089,137
6053,-84.37768,33.750182,118,0.63,62%,65%,13121,75
6054,-82.177466,36.599834,101,0.8,79%,81%,51520,81
6055,-89.205196,41.325462,220,0.47,46%,48%,17011,104
6056,-85.396541,44.251463,212,0.29,28%,30%,26165,61
6057,-100.16359,40.283278,13,0.19,16%,23%,31065,3
6058,-98.234505,35.06728,176,0.52,51%,53%,40015,91
6059,-96.387802,35.823648,281,0.52,51%,53%,40037,146
6060,-99.166761,32.124791,45,0.18,16%,19%,48059,8
6061,-98.162388,29.142627,106,0.27,26%,28%,48493,29
6062,-98.142367,27.229574,337,0.13,13%,14%,48047,45
6063,-95.978502,31.253677,74,0.38,37%,40%,48289,28
6064,-83.61336,32.605462,343,0.68,68%,69%,13153,235
6065,-82.778229,32.152343,101,0.55,54%,57%,13309,56
6066,-159.670157,21.955634,752,0.19,18%,19%,15007,142
6067,-80.170658,26.679738,201,0.01,1%,1%,12099,1
6068,-84.450353,39.248916,510,0.54,54%,55%,39061,278
6069,-106.654201,35.078361,170,0.36,34%,37%,35001,61
6070,-122.345314,37.92289,141,0.25,24%,25%,6013,35
6071,-121.456441,38.609985,393,0.45,44%,46%,6067,177
6072,-76.237288,41.053039,122,0.42,41%,43%,42037,52
6073,-105.902049,37.258444,114,0.51,50%,53%,8021,59
